timestamp,tracker_id,rider,plate,plate_conf,lap,lap_time,bbox,center
2297.595,6196,black,,0.0,39,28.745,"[744, 361, 1299, 707]","[1021, 534]"
2310.358,6239,black,,0.0,40,12.763,"[758, 372, 1208, 682]","[983, 527]"
2338.203,6336,black,,0.0,41,27.844,"[725, 379, 1211, 694]","[968, 536]"
2416.598,6528,plate_247,247,0.761,1,2416.598,"[734, 374, 1217, 692]","[975, 533]"
2440.471,6621,black,,0.0,42,102.269,"[757, 397, 1233, 711]","[995, 554]"
2449.197,6673,black,,0.0,43,8.725,"[771, 407, 1203, 687]","[987, 547]"
2455.837,6687,plate_28,28,0.898,1,2455.837,"[820, 399, 1134, 607]","[977, 503]"
2463.211,6698,plate_8,8,0.413,1,2463.211,"[721, 374, 1234, 712]","[977, 543]"
2520.468,6936,black,,0.0,44,71.271,"[714, 410, 1202, 709]","[958, 559]"
2552.867,7034,black,,0.0,45,32.399,"[722, 378, 1194, 704]","[958, 541]"
2575.757,7104,plate_24,24,0.838,2,2433.564,"[645, 389, 1263, 761]","[954, 575]"
2607.538,7242,plate_28,28,0.909,2,151.702,"[809, 396, 1129, 609]","[969, 502]"
2610.658,7257,black,,0.0,46,57.791,"[736, 410, 1182, 705]","[959, 557]"
2619.667,7292,black,,0.0,47,9.009,"[826, 408, 1092, 572]","[959, 490]"
2696.444,7513,plate_61,61,0.668,3,1316.782,"[771, 366, 1227, 671]","[999, 518]"
2702.934,7527,black,,0.0,48,83.267,"[725, 377, 1189, 688]","[957, 532]"
2720.434,7547,black,,0.0,49,17.501,"[763, 439, 1140, 702]","[951, 570]"
2744.358,7669,black,,0.0,50,23.924,"[832, 405, 1096, 570]","[964, 487]"
2753.551,7694,black,,0.0,51,9.193,"[731, 376, 1202, 693]","[966, 534]"
2765.012,7758,plate_28,28,0.955,3,157.474,"[787, 407, 1115, 613]","[951, 510]"
2859.657,7974,plate_601,601,0.742,1,2859.657,"[819, 408, 1105, 594]","[962, 501]"
2871.118,8040,black,,0.0,52,117.567,"[823, 403, 1091, 570]","[957, 486]"
2881.662,8045,black,,0.0,53,10.544,"[734, 384, 1223, 699]","[978, 541]"
